prompt,reference
What is contract value of contract data/contract_C-022.pdf?,The contract value is None
Who are the parties contract data/contract_C-022.pdf?,"The parties are Novus Data Works, QuantForge Solutions"
What is the nature of the contract data/contract_C-022.pdf?,"The nature of the contract is Data Science Services Agreement, Anomaly Detection in Financial Transactions, Deliver technical services including data analysis, modeling, or infrastructure setup, Provide progress updates as requested by the Client, Maintain confidentiality on sensitive information exchanged, Provide timely access to necessary data and internal stakeholders, Ensure prompt payment per the terms outlined above, All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented, This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly"
What is the start date of the contract data/contract_C-022.pdf?,The start date of the contract is 2024-02-05
What is the end date of the contract data/contract_C-022.pdf?,The end date of the contract is 2024-08-18
What is contract value of contract data/contract_C-009.pdf?,The contract value is None
Who are the parties contract data/contract_C-009.pdf?,"The parties are Synapse Metrics, BluePeak Data"
What is the nature of the contract data/contract_C-009.pdf?,"The nature of the contract is AI Model Auditing and Fairness Analysis, Deliver technical services including data analysis, modeling, or infrastructure setup, Provide progress updates as requested by the Client, Maintain confidentiality on sensitive information exchanged, Provide timely access to necessary data and internal stakeholders, Ensure prompt payment per the terms outlined above, All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented, This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly"
What is the start date of the contract data/contract_C-009.pdf?,The start date of the contract is 2024-06-12
What is the end date of the contract data/contract_C-009.pdf?,The end date of the contract is 2024-12-24
What is contract value of contract data/contract_C-021.pdf?,The contract value is None
Who are the parties contract data/contract_C-021.pdf?,"The parties are Cortex Innovations, DataSense Analytics Ltd."
What is the nature of the contract data/contract_C-021.pdf?,"The nature of the contract is Machine Learning Model Optimization, Data Science Services Agreement"
What is the start date of the contract data/contract_C-021.pdf?,The start date of the contract is 2024-02-04
What is the end date of the contract data/contract_C-021.pdf?,The end date of the contract is 2024-07-16
What is contract value of contract data/contract_C-020.pdf?,The contract value is None
Who are the parties contract data/contract_C-020.pdf?,"The parties are NeuralCore Labs, UrbanIQ Partners"
What is the nature of the contract data/contract_C-020.pdf?,The nature of the contract is Data Pipeline Development and Maintenance
What is the start date of the contract data/contract_C-020.pdf?,The start date of the contract is 2024-04-27
What is the end date of the contract data/contract_C-020.pdf?,The end date of the contract is 2024-08-16
What is contract value of contract data/contract_C-008.pdf?,The contract value is None
Who are the parties contract data/contract_C-008.pdf?,"The parties are Synapse Metrics, UrbanIQ Partners"
What is the nature of the contract data/contract_C-008.pdf?,"The nature of the contract is Data Science Services Agreement, Cloud Migration of Data Infrastructure, Milestone-based payments as defined in annex, Deliver technical services including data analysis, modeling, or infrastructure setup, Provide progress updates as requested by the Client, Maintain confidentiality on sensitive information exchanged, Provide timely access to necessary data and internal stakeholders, Ensure prompt payment per the terms outlined above, All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented, This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly"
What is the start date of the contract data/contract_C-008.pdf?,The start date of the contract is 2024-04-16
What is the end date of the contract data/contract_C-008.pdf?,The end date of the contract is 2024-12-30
What is contract value of contract data/contract_C-018.pdf?,The contract value is None
Who are the parties contract data/contract_C-018.pdf?,"The parties are Veridian Knowledge Systems, QuantForge Solutions"
What is the nature of the contract data/contract_C-018.pdf?,"The nature of the contract is Data Science Services Agreement, IoT Data Aggregation and Visualization, Deliver technical services including data analysis, modeling, or infrastructure setup, Provide progress updates as requested by the Client, Maintain confidentiality on sensitive information exchanged, Provide timely access to necessary data and internal stakeholders, Ensure prompt payment per the terms outlined above, All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented, This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly"
What is the start date of the contract data/contract_C-018.pdf?,The start date of the contract is 2024-05-05
What is the end date of the contract data/contract_C-018.pdf?,The end date of the contract is 2024-08-17
What is contract value of contract data/contract_C-019.pdf?,The contract value is None
Who are the parties contract data/contract_C-019.pdf?,"The parties are GreenField Insights, DataSense Analytics Ltd."
What is the nature of the contract data/contract_C-019.pdf?,"The nature of the contract is IoT Data Aggregation and Visualization, Deliver technical services including data analysis, modeling, or infrastructure setup, Provide progress updates as requested by the Client, Maintain confidentiality on sensitive information exchanged, Provide timely access to necessary data and internal stakeholders, Ensure prompt payment per the terms outlined above, All models and code developed shall remain the joint property of both parties, unless an alternate arrangement is documented, This contract may be dissolved by written notice from either party, with all completed and billable work settled promptly"
What is the start date of the contract data/contract_C-019.pdf?,The start date of the contract is 2024-03-27
What is the end date of the contract data/contract_C-019.pdf?,The end date of the contract is 2024-09-22
What is contract value of contract data/contract_C-003.pdf?,The contract value is None
Who are the parties contract data/contract_C-003.pdf?,"The parties are Veridian Knowledge Systems, Synapse Metrics"
